Cohorte,"Número de estudiante","Código Plan","Último Logro","Fecha Logro","Última toma de ramos"
2005-01,2689,HF01,INGRESO,2005-01,2024-01
2006-01,3353,DV02,8,2023-02,2024-01
2008-01,1400,HF02,LICENCIATURA,2024-01,2024-01
2020-01,1653,DS03,INGRESO,2020-01,2024-01
2009-01,1233,DV02,LICENCIATURA,2024-01,2024-01
2010-01,704,DS03,4,2023-01,2024-01
2012-01,2601,HF02,8,2022-02,2024-01
2013-01,3127,HF02,LICENCIATURA,2024-01,2024-01
2013-01,897,DS03,9,2020-02,2024-01
2014-01,2430,DV02,LICENCIATURA,2024-01,2024-01
2014-01,2667,DV02,4,2021-02,2024-01
2015-01,2994,DV02,6,2023-02,2024-01
2015-01,2525,DV02,7,2021-02,2024-01
2015-01,3426,DV02,5,2023-02,2024-01
2016-01,1172,DS03,7,2023-01,2024-01
2016-01,2704,DV02,LICENCIATURA,2024-01,2024-01
2016-01,3665,HF02,3,2020-02,2024-01
2016-01,3428,DV02,INGRESO,2023-02,2024-01
2017-01,2794,DV02,9,2023-02,2024-01
2017-01,3871,HF02,LICENCIATURA,2024-01,2024-01
2017-01,3884,HF02,5,2023-02,2024-01
2017-01,3854,HF02,LICENCIATURA,2024-01,2024-01
2017-01,3939,HF02,8,2023-02,2024-01
2017-01,3990,HF02,LICENCIATURA,2024-01,2024-01
2017-01,2786,DV02,7,2023-01,2024-01
2017-01,1273,DS03,4,2023-01,2024-01
2017-01,1308,DS03,5,2022-02,2024-01
2017-01,3173,DV02,4,2023-02,2024-01
2017-01,1281,DS03,6,2023-02,2024-01
2017-01,2770,DV02,LICENCIATURA,2024-01,2024-01
2017-01,1332,DS03,9,2023-02,2024-01
2017-01,3257,DV02,6,2023-02,2024-01
2017-01,3235,DV02,8,2023-02,2024-01
2017-01,3593,DV02,2,2024-01,2024-01
2018-01,4098,HF02,8,2022-01,2024-01
2018-01,4095,HF02,LICENCIATURA,2024-01,2024-01
2018-01,4192,HF02,7,2023-01,2024-01
2018-01,4176,HF02,5,2023-01,2024-01
2018-01,1444,DS03,5,2023-02,2024-01
2018-01,3260,DV02,7,2023-02,2024-01
2018-01,4159,HF02,7,2023-01,2024-01
2018-01,4100,HF02,5,2023-02,2024-01
2018-01,4080,HF02,7,2023-01,2024-01
2018-01,4082,HF02,7,2023-02,2024-01
2018-01,4076,HF02,7,2023-01,2024-01
2018-01,1355,DS03,6,2023-02,2024-01
2018-01,4102,HF02,8,2023-02,2024-01
2018-01,4061,HF02,7,2023-01,2024-01
2018-01,1419,DS03,9,2023-02,2024-01
