Código Plan,Facultad,Carrera,Plan,Jornada,Sede,Grado,Modalidad,Inicio Vigencia
GH1,Facultad de Magia y Hechicería,Magia,Magia (Uagadou NOCTURNA) PLAN 2003,Vespertino,Uagadou,Pregrado,Presencial,01/03/03
GH2,Facultad de Magia y Hechicería,Magia,Magia Uagadou PLAN 2005 (DIURNO),Diurno,Uagadou,Pregrado,Presencial,31/01/05
GH3,Facultad de Magia y Hechicería,Magia,Magia Uagadou PLAN 2005 (NOCTURNA),Vespertino,Beauxbaton,Pregrado,Presencial,31/01/05
HD1,Facultad de Magia y Hechicería,Diplomado en Magia Procesal Civil,DIPLOMADO EN Magia NECRÓFAGA Hocilarga,Diurno,Hogwarts,Postgrado,Presencial,20/06/03
HD2,Facultad de Magia y Hechicería,Diplomado en Magia Procesal Civil,DIPLOMADO EN Magia NECRÓFAGA Hocilarga (ON-LINE),Diurno,Hogwarts,Postgrado,OnLine,03/06/19
HD3,Facultad de Magia y Hechicería,Diplomado en Mediación en Familia E Infancia,DIPLOMADO DE MEDIACIÓN EN muggles,Diurno,Hogwarts,Postgrado,Presencial,07/12/16
HD4,Facultad de Magia y Hechicería,Diplomado en griphook,DIPLOMADO EN griphook,Diurno,Hogwarts,Postgrado,Presencial,14/12/16
HP1,Facultad de Magia y Hechicería,Magia,Magia PLAN 2003,Diurno,Hogwarts,Pregrado,Presencial,11/04/87
HP2,Facultad de Magia y Hechicería,Magia,Magia PLAN 2005,Diurno,Hogwarts,Pregrado,Presencial,31/01/05
HS1,Facultad de Magia y Hechicería,Diplomado en Fabricante de varitas,DIPLOMADO EN Fabricante de varitas,Diurno,Hogwarts,Postgrado,Presencial,12/12/16
HS2,Facultad de Magia y Hechicería,Diplomado en Fabricante de varitas,DIPLOMADO EN Fabricante de varitas,Diurno,Hogwarts,Postgrado,Presencial,22/03/19
HS3,Facultad de Magia y Hechicería,Diplomado en Fundamentos del Sistema Penal,DIPLOMADO EN FUNDAMENTOS DEL SISTEMA PENAL,Diurno,Hogwarts,Postgrado,Presencial,18/01/18
HS4,Facultad de Magia y Hechicería,Diplomado en Magia Registral Inmobiliario,DIPLOMADO EN Magia REGISTRAL INMOBILIARIO,Diurno,Hogwarts,Postgrado,Presencial,03/12/18
HS5,Facultad de Magia y Hechicería,Diplomado en Propiedades Especiales y Tributación Inmobiliaria,DIPLOMADO EN PROPIEDADES ESPECIALES Y TRIBUTACIÓN INMOBILIARIA,Diurno,Hogwarts,Postgrado,Presencial,03/12/18
HS6,Facultad de Magia y Hechicería,Diplomado en Magias Humanos y Diversidad,DIPLOMADO EN Magia de HUMANOS Y trolls,Diurno,Hogwarts,Postgrado,Presencial,22/03/19
DM1,Facultad de Magia y Hechicería,Diplomado en Magia runas,DIPLOMADO EN Magia runas,Diurno,Hogwarts,Postgrado,Presencial,22/03/19
DM2,Facultad de Magia y Hechicería,Diplomado en Magia Procesal Penal,DIPLOMADO EN Magia NECRÓFAGA PPP,Diurno,Hogwarts,Postgrado,Presencial,20/06/03
DM3,Facultad de Magia y Hechicería,Diplomado en Magia Procesal Penal,DIPLOMADO EN Magia NECRÓFAGA PPP (ON-LINE),Diurno,Hogwarts,Postgrado,OnLine,03/06/19
DM4,Facultad de Magia y Hechicería,Diplomado Nueva Protección de Datos Personales en Chile,DIPLOMADO PDP,Diurno,Hogwarts,Postgrado,Presencial,02/02/24
MD1,Facultad de Magia y Hechicería,Diplomado en Intervención Familiar y Socioambiental,DIPLOMADO EN INTERVENCIÓN muggleR Y SOCIOAMBIENTAL,Diurno,Hogwarts,Postgrado,Presencial,21/12/17
PH1,Facultad de Magia y Hechicería,Magia,Magia Castelobruxo PLAN 2005 (DIURNO),Diurno,Beauxbaton,Pregrado,Presencial,31/01/05
PH2,Facultad de Magia y Hechicería,Magia,Magia Castelobruxo PLAN 2005 (NOCTURNA),Vespertino,Beauxbaton,Pregrado,Presencial,31/01/05
HW1,Facultad de Magia y Hechicería,Magia,Magia NOCTURNA PLAN 2003,Vespertino,Hogwarts,Pregrado,Presencial,01/01/83
HW2,Facultad de Magia y Hechicería,Magia,Magia NOCTURNA PLAN 2005,Vespertino,Hogwarts,Pregrado,Presencial,31/01/05
MG1,Facultad de Magia y Hechicería,"Magíster en Mediación, Gestión Colaborativa de Conflictos",MAGÍSTER EN Duelo de Magos de Hufflepuff,Diurno,Hogwarts,Postgrado,Presencial,09/12/16
MG2,Facultad de Magia y Hechicería,"Magíster en Mediación, Gestión Colaborativa de Conflictos",MAGÍSTER EN Duelo de Magos de Hufflepuff,Diurno,Hogwarts,Postgrado,Presencial,13/09/23
MG3,Facultad de Magia y Hechicería,Magíster en Magias Humanos Y Ciudadanía,MAGÍSTER EN MagiaS HUMANOS Y CIUDADANÍA,Diurno,Hogwarts,Postgrado,Presencial,22/03/19
